t=2025-08-09T23:08:01-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-09T23:08:01-0500 lvl=info msg="using configuration at default config path" path=/home/tunji/.config/ngrok/ngrok.yml
t=2025-08-09T23:08:01-0500 lvl=info msg="open config file" path=/home/tunji/.config/ngrok/ngrok.yml err=nil
t=2025-08-09T23:08:01-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-09T23:08:01-0500 lvl=info msg=start pg=/api/tunnels id=0c86fd0d11fe607d
t=2025-08-09T23:08:01-0500 lvl=info msg=end pg=/api/tunnels id=0c86fd0d11fe607d status=200 dur=237.137µs
t=2025-08-09T23:08:01-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://81b6c4d190fc.ngrok-free.app
t=2025-08-09T23:08:02-0500 lvl=info msg=start pg=/api/tunnels id=401a5bc779898eb8
t=2025-08-09T23:08:02-0500 lvl=info msg=end pg=/api/tunnels id=401a5bc779898eb8 status=200 dur=237.869µs
t=2025-08-09T23:08:06-0500 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-08-09T23:16:29-0500 lvl=info msg="join connections" obj=join id=9e41592406ae l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:39-0500 lvl=info msg="join connections" obj=join id=1699b8cd1160 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:39-0500 lvl=info msg="join connections" obj=join id=39f32cbf4342 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:49-0500 lvl=info msg="join connections" obj=join id=d79a2315ddcb l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:49-0500 lvl=info msg="join connections" obj=join id=8e9b44a190ba l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:59-0500 lvl=info msg="join connections" obj=join id=0d64b00a7d0e l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:59-0500 lvl=info msg="join connections" obj=join id=76ec5f580ec8 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:09-0500 lvl=info msg="join connections" obj=join id=1d6871ed8f04 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:09-0500 lvl=info msg="join connections" obj=join id=9e955cd76c8b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:19-0500 lvl=info msg="join connections" obj=join id=aa77761af60b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:19-0500 lvl=info msg="join connections" obj=join id=95cd94affa84 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:29-0500 lvl=info msg="join connections" obj=join id=cc6036ac085c l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:29-0500 lvl=info msg="join connections" obj=join id=e6efd9af1a8b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:39-0500 lvl=info msg="join connections" obj=join id=2f3255f5618d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:39-0500 lvl=info msg="join connections" obj=join id=fc139496f059 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:49-0500 lvl=info msg="join connections" obj=join id=9d3eb785be2b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:49-0500 lvl=info msg="join connections" obj=join id=7bccb48fc1bd l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:59-0500 lvl=info msg="join connections" obj=join id=11150c275d8e l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:17:59-0500 lvl=info msg="join connections" obj=join id=e9214e8a759d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:09-0500 lvl=info msg="join connections" obj=join id=4e65a8062696 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:09-0500 lvl=info msg="join connections" obj=join id=7cf7074b7eeb l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:19-0500 lvl=info msg="join connections" obj=join id=0a52634240c1 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:19-0500 lvl=info msg="join connections" obj=join id=6a85e24e444a l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:29-0500 lvl=info msg="join connections" obj=join id=0f4a2dec7a6c l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:29-0500 lvl=info msg="join connections" obj=join id=204d7f86e0f3 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:39-0500 lvl=info msg="join connections" obj=join id=7580d1e132a0 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:39-0500 lvl=info msg="join connections" obj=join id=231c542201e1 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:49-0500 lvl=info msg="join connections" obj=join id=dd8adc7a8261 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:49-0500 lvl=info msg="join connections" obj=join id=4f02c10d2255 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:59-0500 lvl=info msg="join connections" obj=join id=a7d39f3accd3 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:18:59-0500 lvl=info msg="join connections" obj=join id=a3855801ccbc l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:09-0500 lvl=info msg="join connections" obj=join id=912a882a062d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:09-0500 lvl=info msg="join connections" obj=join id=63cbc70dd140 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:19-0500 lvl=info msg="join connections" obj=join id=13cc1683ad69 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:19-0500 lvl=info msg="join connections" obj=join id=b327ce0f8eb5 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:29-0500 lvl=info msg="join connections" obj=join id=c55bc44ae97e l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:29-0500 lvl=info msg="join connections" obj=join id=3db6128157c4 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:39-0500 lvl=info msg="join connections" obj=join id=c1c83837ab61 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:39-0500 lvl=info msg="join connections" obj=join id=3f13b44f4707 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:49-0500 lvl=info msg="join connections" obj=join id=37cd70fc47a4 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:49-0500 lvl=info msg="join connections" obj=join id=a9e224f97835 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:59-0500 lvl=info msg="join connections" obj=join id=93d511003d7a l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:19:59-0500 lvl=info msg="join connections" obj=join id=6641d647126b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:09-0500 lvl=info msg="join connections" obj=join id=82bf3ac5151e l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:09-0500 lvl=info msg="join connections" obj=join id=315321f0a7b2 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:19-0500 lvl=info msg="join connections" obj=join id=848a5f099231 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:19-0500 lvl=info msg="join connections" obj=join id=fcec6a5f3984 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:29-0500 lvl=info msg="join connections" obj=join id=1baa37426cf1 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:29-0500 lvl=info msg="join connections" obj=join id=38db866bede5 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:39-0500 lvl=info msg="join connections" obj=join id=baffa2fef2bc l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:39-0500 lvl=info msg="join connections" obj=join id=9084dbaa8809 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:49-0500 lvl=info msg="join connections" obj=join id=426c3913d258 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:49-0500 lvl=info msg="join connections" obj=join id=400f844c3590 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:59-0500 lvl=info msg="join connections" obj=join id=920f9eabb571 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:20:59-0500 lvl=info msg="join connections" obj=join id=1da91a8e6976 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:21:19-0500 lvl=info msg="join connections" obj=join id=a83576c634ce l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:19-0500 lvl=info msg="join connections" obj=join id=f7a58e297bd1 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:19-0500 lvl=info msg="join connections" obj=join id=7a31e08fdbee l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:29-0500 lvl=info msg="join connections" obj=join id=f3689827584d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:29-0500 lvl=info msg="join connections" obj=join id=977a470a8812 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:29-0500 lvl=info msg="join connections" obj=join id=af4912a977f3 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:39-0500 lvl=info msg="join connections" obj=join id=a1b013e8c9f5 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:39-0500 lvl=info msg="join connections" obj=join id=82969d282c42 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:39-0500 lvl=info msg="join connections" obj=join id=29d196fb84ba l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:49-0500 lvl=info msg="join connections" obj=join id=a08f301b00ef l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:49-0500 lvl=info msg="join connections" obj=join id=f328db727ccc l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:49-0500 lvl=info msg="join connections" obj=join id=3e14e8a7105b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:59-0500 lvl=info msg="join connections" obj=join id=44528c702ee0 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:59-0500 lvl=info msg="join connections" obj=join id=efc9e8cccb99 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:21:59-0500 lvl=info msg="join connections" obj=join id=b4555b995830 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:22:09-0500 lvl=info msg="join connections" obj=join id=7d2090fbf9e3 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:22:09-0500 lvl=info msg="join connections" obj=join id=94ff7c62f3e7 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
t=2025-08-09T23:22:09-0500 lvl=info msg="join connections" obj=join id=ec73abe30504 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50808
